cnt,title,description,link,pDate
15,"가천대, 통합 10주년 비전 선포…&quot;5년내 10대 대학, 10년내 세계 100대 대학 ...",▲ <b>이길여</b> 가천대학교 총장 등이 3일 대학 비전타워 스타덤 광장에서 통합 10주년 기념식 및 비전 선포식을... 가천대는 이날 대학 비전타워 스타덤 광장 특설무대에서 <b>이길여</b> 총장을 비롯해 송석형 가천학원 이사장... ,http://www.incheonilbo.com/news/articleView.html?idxno=1142720,2022-05-03 17:46:00
16,"<b>이길여</b> 가천대총장, “창업지원으로 ‘학생성공시대’ 만들겠다”","가천대학교(총장 <b>이길여</b>)가 통합 10주년을 맞아 3일 대학 비전타워 스타덤광장 특설무대에서 통합 10주년... <b>이길여</b> 총장을 비롯해 송석형 가천학원 이사장과 이태훈 가천대 길병원 의료원장, 윤성태 가천문화재단... ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=016&aid=0001986444,2022-05-03 17:16:00
17,가천대 통합10주년→100대 대학 진입 선포…총장 “학생성공시대”,가천대 제공 가천대학교(총장 <b>이길여</b>)가 통합 10주년을 맞아 3일 대학 비전타워 스타덤광장 특설무대에서... <b>이길여</b> 총장은 “지난 10년이 대학통합을 통해 명문대학 도약을 위한 튼튼한 기반을 마련한 시기였다면... ,https://www.kyeonggi.com/article/20220503580109,2022-05-03 16:50:00
18,"가천대, 통합 10주년 맞아 글로벌 100대 대학 도약 비전선포식 가져","이날 행사에는 <b>이길여</b> 총장을 비롯해 송석형 가천학원 이사장과 이태훈 가천대 길병원 의료원장, 윤성태... 가천대 <b>이길여</b> 총장은 “지난 10년이 대학통합을 통해 명문대학 도약을 위한 튼튼한 기반을 마련한... ",https://www.ajunews.com/view/20220503151143957,2022-05-03 16:12:00
19,"가천대, 통합 10주년…대학통합 성공모델로 주목","기념식에는 <b>이길여</b> 총장, 송석형 가천학원 이사장, 이태훈 가천대 길병원 의료원장, 윤성태 가천문화재단... <b>이길여</b> 총장은 “지난 10년이 대학통합을 통해 명문대학 도약을 위한 튼튼한 기반을 마련한 시기였다면... ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=421&aid=0006070030,2022-05-03 16:07:00
20,"가천대학교, 통합 10주년 비전선포식 개최, '5년내 국내 10대 대학, 10년내 글...","<b>이길여</b>(앞줄 왼쪽에서 다섯 번째) 가천대학교 총장은 3일 대학 비전타워 스타덤 광장에서 열린 통합... 이날 비전선포식에는 <b>이길여</b> 총장을 비롯해 송석형 가천학원 이사장과 이태훈 가천대 길병원 의료원장, 윤성태... ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=015&aid=0004693973,2022-05-03 15:54:00
21,"가천대학교, 통합 10주년 맞아...대학통합 성공모델로 주목","‘5년 내 국내 10대, 10년 내 글로벌 100대 대학 진입’ 비전 선포 <b>이길여</b>총장, “창업지원 등으로 ‘학생성공시대’ 만들겠다” 가천대학교(총장 <b>이길여</b>)가 3일 통합 10주년을 맞아 대학 비전타워 스타덤광장... ",https://www.kgnews.co.kr/news/article.html?no=699904,2022-05-03 15:52:00
22,"가천대, 통합 10주년 '대학통합 성공모델로 주목'",가천대 <b>이길여</b> 총장은 “지난 10년이 대학통합을 통해 명문대학 도약을 위한 튼튼한 기반을 마련한 시기였다면 앞으로 10년은 그동안의 성과에 기반해 글로벌 교육을 선도하는 대학으로 도약하는 시기”라며... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=014&aid=0004830519,2022-05-03 15:51:00
23,"가천대, 통합10주년 비전 선포식...대학통합 성공모델 '주목'","이날 행사에는 <b>이길여</b> 총장과 송석형 가천학원 이사장, 이태훈 가천대 길병원 의료원장, 윤성태... 가천대 <b>이길여</b> 총장은 &quot;지난 10년이 대학통합을 통해 명문대학 도약을 위한 튼튼한 기반을 마련한 시기였다면... ",https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=008&aid=0004741355,2022-05-03 15:49:00
24,"가천대, 통합 10주년 맞아...대학통합 성공모델로 주목","가천대학교(총장 <b>이길여</b>)가 통합 10주년을 맞아 3일 대학 비전타워 스타덤광장 특설무대에서 통합 10주년... <b>이길여</b> 총장을 비롯해 송석형 가천학원 이사장과 이태훈 가천대 길병원 의료원장, 윤성태 가천문화재단... ",http://www.kyosu.net/news/articleView.html?idxno=88312,2022-05-03 15:46:00
25,"가천대학교, 통합 10주년 맞아...'5년 내 국내 10대, 10년 내 글로벌 100대 대...","이날 행사는 <b>이길여</b> 총장을 비롯해 송석형 가천학원 이사장과 이태훈 가천대 길병원 의료원장, 윤성태... <b>이길여</b> 가천대학교 총장은 &quot;첨단산업 분야의 고급인력을 배출할 수 있도록 기업을 학내에 이식해 융·복합 교육과... ",http://www.joongboo.com/news/articleView.html?idxno=363539158,2022-05-03 15:38:00
26,"[대학가 투데이] 한국교통대, 아주대, 인천대, 전북대, 가천대",<b>이길여</b> 총장은 &quot;지난 10년이 대학통합을 통해 명문대학 도약을 위한 튼튼한 기반을 마련한 시기였다면 앞으로의 10년은 글로벌 교육을 선도하는 대학으로 도약하는 시기&quot;라며 &quot;기업을 학내에 이식해 융·복합교육과... ,http://www.dhnews.co.kr/news/articleView.html?idxno=204540,2022-05-03 15:26:00
27,"가천대, 통합 10주년...대학통합 성공모델 주목",선포 <b>이길여</b> 총장 “창업지원 등으로 ‘학생성공시대’ 만들겠다” 가천대학교가 통합 10주년을 맞아 3일 대학 비전타워 스타덤광장 특설무대에서 통합 10주년 기념식 과 비전선포식을 가졌다. <b>이길여</b> 총장을 비롯해... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=003&aid=0011162419,2022-05-03 15:17:00
28,"가천대, 통합 10주년 비전 선포…&quot;5년내 10대 대학 도약&quot;",<b>이길여</b> 총장은 성남 글로벌캠퍼스 내 비전타워 스타덤광장에서 열린 기념식에서 &quot;지난 10년이 대학통합을 통해 명문대학 도약을 위한 기반을 마련한 시기였다면 앞으로 10년은 그 성과에 기반해 글로벌 교육을... ,https://news.naver.com/main/read.naver?mode=LSD&mid=sec&sid1=102&oid=001&aid=0013154053,2022-05-03 11:21:00
